Gene stable ID,Gene name,NCBI gene ID,UniProtKB/Swiss-Prot ID,RefSeq peptide ID
ENSMUSG00000118402,CT868697.1,100862323,,
ENSMUSG00000104043,Gm6525,,,
ENSMUSG00000019841,Rev3l,19714,,
ENSMUSG00000023279,Bmp15,12155,Q9Z0L4,NP_033887
ENSMUSG00000019841,Rev3l,19714,,
ENSMUSG00000059049,Frem1,329872,Q684R7,NP_808531
ENSMUSG00000041660,Bbox1,170442,Q924Y0,NP_569719
ENSMUSG00000019841,Rev3l,19714,Q61493,
ENSMUSG00000059049,Frem1,329872,,
ENSMUSG00000045994,B3gat1,76898,Q9CW73,
ENSMUSG00000048284,Tas2r126,387353,P59532,NP_996911
ENSMUSG00000026786,Apbb1ip,54519,Q8R5A3,NP_062329
ENSMUSG00000008035,Mid1ip1,68041,,
ENSMUSG00000041660,Bbox1,170442,,
ENSMUSG00000036333,Kidins220,77480,,NP_001074847
ENSMUSG00000045994,B3gat1,76898,Q9CW73,
ENSMUSG00000089717,Olfr275,258857,,NP_667069
ENSMUSG00000036333,Kidins220,77480,,
ENSMUSG00000036333,Kidins220,77480,,
ENSMUSG00000034708,Grn,14824,,NP_032201
ENSMUSG00000034708,Grn,14824,,NP_032201
ENSMUSG00000045994,B3gat1,76898,Q9CW73,
ENSMUSG00000008035,Mid1ip1,68041,Q9CQ20,NP_001160107
ENSMUSG00000000094,Tbx4,21387,P70325,
ENSMUSG00000034708,Grn,14824,,
ENSMUSG00000036333,Kidins220,77480,,
ENSMUSG00000026655,Fam107b,66540,,
ENSMUSG00000058183,Mmel1,27390,,
ENSMUSG00000008035,Mid1ip1,68041,Q9CQ20,NP_080800
ENSMUSG00000053897,Slc39a8,67547,Q91W10,NP_080504
ENSMUSG00000054555,Adam12,11489,Q61824,NP_031426
ENSMUSG00000058183,Mmel1,27390,,
ENSMUSG00000008035,Mid1ip1,68041,,
ENSMUSG00000039233,Tbce,70430,Q8CIV8,NP_848027
ENSMUSG00000026655,Fam107b,66540,,
ENSMUSG00000058183,Mmel1,27390,,
ENSMUSG00000054555,Adam12,11489,,
ENSMUSG00000000094,Tbx4,21387,,NP_766386
ENSMUSG00000058183,Mmel1,27390,,
ENSMUSG00000053897,Slc39a8,67547,Q91W10,
ENSMUSG00000039233,Tbce,70430,,
ENSMUSG00000054555,Adam12,11489,,
ENSMUSG00000026437,Cdk18,18557,Q04899,NP_032821
ENSMUSG00000000094,Tbx4,21387,P70325,NP_035666
ENSMUSG00000036333,Kidins220,77480,,
ENSMUSG00000054555,Adam12,11489,,
ENSMUSG00000034708,Grn,14824,,
ENSMUSG00000025980,Hspd1,15510,P63038,NP_001343441
ENSMUSG00000025980,Hspd1,15510,P63038,NP_034607
ENSMUSG00000017686,Rhot1,59040,Q8BG51,NP_001349797
ENSMUSG00000034708,Grn,14824,,
ENSMUSG00000053897,Slc39a8,67547,Q91W10,NP_001128622
ENSMUSG00000053897,Slc39a8,67547,Q91W10,NP_001128621
ENSMUSG00000045994,B3gat1,76898,Q9CW73,NP_084068
ENSMUSG00000025980,Hspd1,15510,,
ENSMUSG00000095180,Rhox5,18617,,
ENSMUSG00000025980,Hspd1,15510,,
ENSMUSG00000026655,Fam107b,66540,Q3TGF2,
ENSMUSG00000095180,Rhox5,18617,,NP_032844
ENSMUSG00000058183,Mmel1,27390,,NP_038811
ENSMUSG00000026655,Fam107b,66540,Q3TGF2,
ENSMUSG00000058183,Mmel1,27390,,
ENSMUSG00000017686,Rhot1,59040,Q8BG51,NP_067511
ENSMUSG00000026655,Fam107b,66540,Q3TGF2,NP_079902
ENSMUSG00000030854,Ptpn5,19259,P54830,NP_038671
ENSMUSG00000026655,Fam107b,66540,Q3TGF2,
ENSMUSG00000026655,Fam107b,66540,,
ENSMUSG00000026655,Fam107b,66540,,
ENSMUSG00000026655,Fam107b,66540,,
ENSMUSG00000006717,Acot13,66834,Q9CQR4,NP_080066
ENSMUSG00000026437,Cdk18,18557,,
ENSMUSG00000024976,Shoc2,56392,O88520,NP_001161977
ENSMUSG00000018427,Ypel2,77864,Q65Z95,NP_001005341
ENSMUSG00000026274,Pask,269224,Q8CEE6,NP_543126
ENSMUSG00000024976,Shoc2,56392,O88520,NP_001342171
ENSMUSG00000024976,Shoc2,56392,O88520,NP_062632
ENSMUSG00000018427,Ypel2,77864,,
ENSMUSG00000026437,Cdk18,18557,Q04899,
ENSMUSG00000080891,Olfr587-ps1,,,
ENSMUSG00000012126,Ubxn11,67586,Q9D572,NP_080533
ENSMUSG00000080891,Olfr587-ps1,,,
ENSMUSG00000017686,Rhot1,59040,Q8BG51,NP_001156826
ENSMUSG00000028937,Acot7,70025,Q91V12,NP_001356203
ENSMUSG00000028937,Acot7,70025,Q91V12,NP_001356202
ENSMUSG00000028937,Acot7,70025,Q91V12,NP_579926
ENSMUSG00000024976,Shoc2,56392,,
ENSMUSG00000012126,Ubxn11,67586,,
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336622
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336619
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336624
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336623
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336621
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001076430
ENSMUSG00000102252,Snrpn,20646,P63163,NP_038698
ENSMUSG00000024976,Shoc2,56392,,
ENSMUSG00000026274,Pask,269224,,
ENSMUSG00000017686,Rhot1,59040,,
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336620
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336622
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336619
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336624
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336623
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001336621
ENSMUSG00000102252,Snrpn,20646,P63163,NP_001076431
ENSMUSG00000028937,Acot7,70025,Q91V12,
ENSMUSG00000035495,Tstd2,272027,Q3U269,NP_001342305
ENSMUSG00000035495,Tstd2,272027,Q3U269,NP_001342304
ENSMUSG00000035495,Tstd2,272027,Q3U269,NP_766621
ENSMUSG00000030854,Ptpn5,19259,P54830,NP_001157037
ENSMUSG00000028937,Acot7,70025,Q91V12,NP_001139530
ENSMUSG00000094626,Tmem121b,94047,Q99MX7,NP_291045
ENSMUSG00000017686,Rhot1,59040,,
ENSMUSG00000005360,Slc1a3,20512,P56564,NP_683740
ENSMUSG00000035495,Tstd2,272027,Q3U269,
ENSMUSG00000012126,Ubxn11,67586,,
ENSMUSG00000028937,Acot7,70025,,NP_001139529
ENSMUSG00000028937,Acot7,70025,,NP_001139529
ENSMUSG00000030366,Ceacam12,67315,,NP_080363
ENSMUSG00000070331,Qrich2,217341,,
ENSMUSG00000017686,Rhot1,59040,Q8BG51,NP_001349799
ENSMUSG00000017686,Rhot1,59040,Q8BG51,NP_001156827
ENSMUSG00000078813,Leng1,69757,Q9DB98,NP_081479
ENSMUSG00000030366,Ceacam12,67315,,NP_001155995
ENSMUSG00000069355,Gm5152,,,
ENSMUSG00000070331,Qrich2,217341,,NP_001028439
ENSMUSG00000069355,Gm5152,,,
ENSMUSG00000055602,Tcp10b,21462,,NP_033367
ENSMUSG00000035495,Tstd2,272027,,
ENSMUSG00000012126,Ubxn11,67586,,
ENSMUSG00000035495,Tstd2,272027,,
ENSMUSG00000005360,Slc1a3,20512,,
ENSMUSG00000035495,Tstd2,272027,,
ENSMUSG00000030366,Ceacam12,67315,,NP_001155996
ENSMUSG00000035495,Tstd2,272027,,
ENSMUSG00000020590,Snx13,217463,,
ENSMUSG00000036264,Fstl4,320027,Q5STE3,NP_796033
ENSMUSG00000066756,Igfl3,232925,Q6B9Z0,NP_001003393
ENSMUSG00000054013,Tmem179,104885,Q8BHH9,NP_849246
ENSMUSG00000020590,Snx13,217463,,NP_001014973
ENSMUSG00000055602,Tcp10b,21462,,
ENSMUSG00000054013,Tmem179,104885,,
ENSMUSG00000102122,Gm20883,100861691,,
ENSMUSG00000102122,Gm20883,108168553,,
ENSMUSG00000026024,Als2,74018,Q920R0,NP_082993
ENSMUSG00000100626,H2al1a,100042922,Q5M8Q2,NP_001104507
ENSMUSG00000026024,Als2,74018,Q920R0,NP_001153420
ENSMUSG00000055602,Tcp10b,21462,,
ENSMUSG00000047810,Ccdc88b,78317,,
ENSMUSG00000101819,H2al1b,100042927,,NP_001229876
ENSMUSG00000060556,Olfr1418,258227,,
ENSMUSG00000024234,Mtpap,67440,,
ENSMUSG00000060556,Olfr1418,258227,,NP_001011524
ENSMUSG00000042751,Nmnat2,226518,,
ENSMUSG00000026024,Als2,74018,,
ENSMUSG00000042751,Nmnat2,226518,Q8BNJ3,NP_780669
ENSMUSG00000058979,Hdhd5,214932,Q91WM2,NP_659064
ENSMUSG00000042751,Nmnat2,226518,,
ENSMUSG00000037553,Zdhhc18,503610,Q5Y5T2,NP_001017968
ENSMUSG00000073599,Ecscr,68545,Q3TZW0,NP_001028313
ENSMUSG00000020275,Rel,19696,,NP_033070
ENSMUSG00000073599,Ecscr,68545,,NP_001355580
ENSMUSG00000055602,Tcp10b,21462,,
ENSMUSG00000073599,Ecscr,68545,,
ENSMUSG00000027668,Mfn1,67414,Q811U4,NP_077162
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348624
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348623
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001157698
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_035068
ENSMUSG00000073599,Ecscr,68545,,
ENSMUSG00000041684,Bivm,246229,,
ENSMUSG00000022340,Sybu,319613,Q8BHS8,NP_848880
ENSMUSG00000026275,Ppp1r7,66385,Q3UM45,NP_075689
ENSMUSG00000073599,Ecscr,68545,,
ENSMUSG00000096074,Ighv1-72,,P06328,
ENSMUSG00000022340,Sybu,319613,Q8BHS8,NP_001345511
ENSMUSG00000024234,Mtpap,67440,Q9D0D3,NP_080433
ENSMUSG00000026275,Ppp1r7,66385,,
ENSMUSG00000026275,Ppp1r7,66385,,
ENSMUSG00000027668,Mfn1,67414,,
ENSMUSG00000030344,Akap3,11642,O88987,NP_033780
ENSMUSG00000031434,Morc4,75746,Q8BMD7,NP_083689
ENSMUSG00000055602,Tcp10b,21462,,
ENSMUSG00000027668,Mfn1,67414,,
ENSMUSG00000030344,Akap3,11642,O88987,
ENSMUSG00000031434,Morc4,75746,,
ENSMUSG00000024234,Mtpap,67440,,
ENSMUSG00000027668,Mfn1,67414,Q811U4,
ENSMUSG00000030344,Akap3,11642,O88987,
ENSMUSG00000049843,Olfr1102,228228,Q8VES2,
ENSMUSG00000047810,Ccdc88b,78317,Q4QRL3,NP_001074760
ENSMUSG00000024234,Mtpap,67440,,
ENSMUSG00000031434,Morc4,75746,Q8BMD7,NP_001180238
ENSMUSG00000022340,Sybu,319613,Q8BHS8,NP_795972
ENSMUSG00000049843,Olfr1102,228228,Q8VES2,NP_997037
ENSMUSG00000047810,Ccdc88b,78317,,
ENSMUSG00000095577,Gm6619,102638913,,NP_001334413
ENSMUSG00000022340,Sybu,319613,,
ENSMUSG00000031434,Morc4,75746,,
ENSMUSG00000034639,Setmar,74729,Q80UJ9,NP_001263285
ENSMUSG00000034639,Setmar,74729,Q80UJ9,NP_848478
ENSMUSG00000027668,Mfn1,67414,,
ENSMUSG00000028329,Xpa,22590,,
ENSMUSG00000096194,Btbd35f2,100040482,,NP_001161806
ENSMUSG00000034639,Setmar,74729,,
ENSMUSG00000022340,Sybu,319613,Q8BHS8,NP_001272769
ENSMUSG00000044933,Sstr3,20607,P30935,NP_001343890
ENSMUSG00000044933,Sstr3,20607,P30935,NP_033244
ENSMUSG00000006200,Rhox6,19202,,NP_032981
ENSMUSG00000094113,5430401F13Rik,71392,,NP_001231557
ENSMUSG00000051166,Eml5,319670,,
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000028329,Xpa,22590,,
ENSMUSG00000024498,Tcerg1,56070,Q8CGF7,NP_001034563
ENSMUSG00000022340,Sybu,319613,,
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348624
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348623
ENSMUSG00000094113,5430401F13Rik,71392,,
ENSMUSG00000022340,Sybu,319613,Q8BHS8,NP_001027899
ENSMUSG00000024498,Tcerg1,56070,,
ENSMUSG00000044933,Sstr3,20607,,
ENSMUSG00000031434,Morc4,75746,,
ENSMUSG00000028329,Xpa,22590,Q64267,NP_035858
ENSMUSG00000076733,Ighv8-13,,,
ENSMUSG00000054302,Eapp,66266,Q5BU09,NP_079732
ENSMUSG00000031434,Morc4,75746,,
ENSMUSG00000024498,Tcerg1,56070,Q8CGF7,NP_001347810
ENSMUSG00000024498,Tcerg1,56070,Q8CGF7,NP_001276455
ENSMUSG00000028329,Xpa,22590,Q64267,
ENSMUSG00000076733,Ighv8-13,,,
ENSMUSG00000024498,Tcerg1,56070,Q8CGF7,
ENSMUSG00000058440,Nrf1,18181,,NP_001348621
ENSMUSG00000058440,Nrf1,18181,,NP_001157699
ENSMUSG00000054302,Eapp,66266,Q5BU09,NP_001318091
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000019734,Tmc4,353499,,NP_861541
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000024498,Tcerg1,56070,,
ENSMUSG00000054302,Eapp,66266,,
ENSMUSG00000012535,Tnpo3,320938,Q6P2B1,NP_001334008
ENSMUSG00000012535,Tnpo3,320938,Q6P2B1,NP_796270
ENSMUSG00000051166,Eml5,319670,Q8BQM8,NP_001074660
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348624
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348623
ENSMUSG00000057454,Lypd3,72434,Q91YK8,NP_598504
ENSMUSG00000054302,Eapp,66266,,
ENSMUSG00000024350,Dnajc18,76594,Q9CZJ9,NP_083945
ENSMUSG00000024498,Tcerg1,56070,,
ENSMUSG00000019734,Tmc4,353499,,
ENSMUSG00000058440,Nrf1,18181,,NP_001157702
ENSMUSG00000054302,Eapp,66266,,
ENSMUSG00000025154,Arhgap19,71085,Q8BRH3,NP_081943
ENSMUSG00000019734,Tmc4,353499,,
ENSMUSG00000052395,Rft1,328370,Q8C3B8,NP_808483
ENSMUSG00000071767,Rhox7a,547168,,NP_001020257
ENSMUSG00000058440,Nrf1,18181,,NP_001157700
ENSMUSG00000024350,Dnajc18,76594,,
ENSMUSG00000022463,Srebf2,20788,Q3U1N2,NP_150087
ENSMUSG00000012535,Tnpo3,320938,,
ENSMUSG00000025154,Arhgap19,71085,,NP_001156967
ENSMUSG00000054302,Eapp,66266,Q5BU09,
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000068574,Olfr458,258436,,
ENSMUSG00000042363,Lgalsl,216551,Q8VED9,NP_776113
ENSMUSG00000058440,Nrf1,18181,,NP_001157701
ENSMUSG00000025154,Arhgap19,71085,Q8BRH3,
ENSMUSG00000071767,Rhox7a,547168,,
ENSMUSG00000068574,Olfr458,258436,,NP_666655
ENSMUSG00000025437,Usp33,170822,Q8R5K2,NP_001239415
ENSMUSG00000022463,Srebf2,20788,Q3U1N2,
ENSMUSG00000025437,Usp33,170822,,NP_001070144
ENSMUSG00000078161,Erich3,209601,,
ENSMUSG00000024498,Tcerg1,56070,,
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000078161,Erich3,209601,,NP_780385
ENSMUSG00000024350,Dnajc18,76594,,
ENSMUSG00000022463,Srebf2,20788,,
ENSMUSG00000051166,Eml5,319670,,
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000003273,Car11,12348,O70354,NP_033930
ENSMUSG00000078161,Erich3,209601,,
ENSMUSG00000024350,Dnajc18,76594,,
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348624
ENSMUSG00000058440,Nrf1,18181,Q9WU00,NP_001348623
ENSMUSG00000025091,Pnliprp2,18947,P17892,NP_035258
ENSMUSG00000022463,Srebf2,20788,,
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000058440,Nrf1,18181,,
ENSMUSG00000052395,Rft1,328370,,
ENSMUSG00000084262,Olfr588-ps1,,,
ENSMUSG00000027788,Otol1,229389,Q4ZJM7,NP_001018041
ENSMUSG00000084262,Olfr588-ps1,,,
ENSMUSG00000058440,Nrf1,18181,,NP_001348621
ENSMUSG00000051166,Eml5,319670,,
ENSMUSG00000052395,Rft1,328370,,
ENSMUSG00000073598,1700066B19Rik,73449,Q3TS39,NP_001028340
ENSMUSG00000041684,Bivm,246229,Q8CBX9,NP_001343977
ENSMUSG00000041684,Bivm,246229,Q8CBX9,NP_001343975
ENSMUSG00000041684,Bivm,246229,Q8CBX9,NP_001343976
ENSMUSG00000053194,Cib4,73259,Q9D9N5,NP_082759
ENSMUSG00000025437,Usp33,170822,Q8R5K2,NP_573510
ENSMUSG00000003273,Car11,12348,,
ENSMUSG00000003273,Car11,12348,,
ENSMUSG00000021241,Isca2,74316,Q9DCB8,NP_083139
ENSMUSG00000114456,Hist1h2bh,319182,Q64478,NP_835504
ENSMUSG00000041684,Bivm,246229,Q8CBX9,NP_001343977
ENSMUSG00000041684,Bivm,246229,Q8CBX9,NP_001343975
ENSMUSG00000041684,Bivm,246229,Q8CBX9,NP_653141
ENSMUSG00000058192,Zfp846,244721,,NP_766507
ENSMUSG00000012535,Tnpo3,320938,,
ENSMUSG00000041684,Bivm,246229,,
ENSMUSG00000021241,Isca2,74316,,
ENSMUSG00000058192,Zfp846,244721,,
ENSMUSG00000025437,Usp33,170822,,
ENSMUSG00000021241,Isca2,74316,,
ENSMUSG00000058192,Zfp846,244721,,
ENSMUSG00000025326,Ube3a,22215,O08759,NP_766598
ENSMUSG00000059588,Calcrl,54598,Q9R1W5,NP_061252
ENSMUSG00000021241,Isca2,74316,,
ENSMUSG00000054497,Tas2r130,387355,P59530,NP_954607
ENSMUSG00000068962,Zfp114,232966,,
ENSMUSG00000100210,Hist1h3f,260423,P84228,NP_038576
ENSMUSG00000033096,Apmap,71881,Q9D7N9,NP_082253
ENSMUSG00000036160,Surf6,20935,P70279,NP_033324
ENSMUSG00000059588,Calcrl,54598,Q9R1W5,
ENSMUSG00000012535,Tnpo3,320938,Q6P2B1,
ENSMUSG00000068962,Zfp114,232966,,NP_001025104
ENSMUSG00000036160,Surf6,20935,,
ENSMUSG00000025437,Usp33,170822,,
ENSMUSG00000058244,Olfr506,258215,,
ENSMUSG00000035632,Cnot3,232791,,
ENSMUSG00000068962,Zfp114,232966,,
ENSMUSG00000058244,Olfr506,258215,,NP_001011871
ENSMUSG00000025762,Larp1b,214048,,
ENSMUSG00000024975,Pdcd4,18569,Q61823,NP_035180
ENSMUSG00000056370,Sftpb,20388,,NP_001269000
ENSMUSG00000067545,Olfr1419,257938,,
ENSMUSG00000067545,Olfr1419,257938,,
ENSMUSG00000025762,Larp1b,214048,,NP_001355151
ENSMUSG00000026767,Mindy3,66960,,NP_001342466
ENSMUSG00000069274,Hist1h4f,319157,P62806,NP_783586
ENSMUSG00000056370,Sftpb,20388,,
ENSMUSG00000025762,Larp1b,214048,,
ENSMUSG00000056370,Sftpb,20388,,
ENSMUSG00000029672,Fam3c,27999,Q91VU0,NP_613053
ENSMUSG00000118219,Gm29695,,,
ENSMUSG00000067545,Olfr1419,257938,,NP_001011775
ENSMUSG00000024975,Pdcd4,18569,Q61823,NP_001161963
